date_l,0,1,2,3,4,5,6,7,8,9,sleep_score
19-01-2020,35979.3129,-182.7713116,-265.1893526,-24.06782712,-109.7419726,-12.25742125,-24.8650724,-4.868332204,-17.41624471,28.07336963,66
20-01-2020,-423872.6699,67.48205113,100.5036751,-21.20015092,38.06933605,-4.442629078,-22.67325183,-19.46479784,-4.716816232,-0.91035632,73
21-01-2020,-89554.40259,-121.3398804,-107.5155587,13.30151142,-69.59685305,-18.37172006,-3.932383421,11.8525179,-5.612267392,5.946793124,77
22-01-2020,-212519.7088,-76.29592573,63.57589397,-81.66788417,-109.98193,-32.60159292,-37.90589626,39.11768283,-5.916852578,-6.279782495,68
23-01-2020,195501.6912,-226.7920915,211.3678211,-76.30941368,47.53665754,-120.9813748,-42.63379732,-28.91059106,-25.49297893,-21.86407003,71
24-01-2020,-166431.2539,-90.14618817,56.69047853,45.96967403,42.78178603,18.97137859,21.11743356,-9.363398555,-0.055309302,15.32946637,73
25-01-2020,581650.4366,1339.183373,-129.6566183,107.5213965,-60.50805579,68.79513096,-40.13717813,-35.59726877,26.57072072,34.59335924,74
26-01-2020,456849.2621,-328.9369287,-391.3643609,75.77827088,-76.52670307,70.72202931,-19.01230394,-7.24939557,-27.17344159,-5.695726304,71
27-01-2020,-299917.0033,11.85032881,147.9684289,-78.55054701,-46.69591661,-23.8187871,11.54801455,20.47344005,26.61515355,13.48457561,69
28-01-2020,140456.7647,-162.8519764,-109.0759052,-80.61552215,-32.79141435,-35.06377624,13.0704118,-17.63580802,23.83902499,-9.268053064,66
29-01-2020,-645422.9799,182.6017467,23.21325093,-70.21507254,-67.64383437,-71.97903046,20.28771559,-4.573833317,16.97932872,12.75441005,72
30-01-2020,132322.4657,-248.8450084,610.2753057,-38.37038577,118.4452402,15.47139208,-16.09799104,-6.19509988,-50.81979373,15.47988722,73
31-01-2020,-42602.65799,-139.2411337,256.3296087,16.0287746,-30.17564992,15.67560843,37.60827226,17.77757765,11.61784208,0.689409473,70
01-02-2020,134968.6862,-197.0219473,116.6477802,-65.93720741,132.0554708,201.5569323,-40.17605922,-8.823828378,1.65883525,-16.48228777,64
02-02-2020,-87827.26424,-127.5503981,386.7244205,126.5587659,-18.8036737,201.8872457,0.825632196,24.46003868,4.649985086,-7.951127335,69
03-02-2020,-162812.6689,-121.6806855,409.0664465,119.1329828,-22.73746674,120.2300219,9.55877178,-4.611293276,10.51543453,-5.724459254,78
04-02-2020,-310684.1708,30.22108142,-118.8074162,-31.49901318,-94.95524599,9.94325671,5.613080905,25.75085429,15.88021065,-3.187020428,70
05-02-2020,554196.0668,559.3694089,-54.35683474,220.8093179,225.8609168,-154.7024633,-33.62742097,98.18266109,31.13898966,-35.15095485,62
06-02-2020,1029738.494,65.76487864,111.0016952,-170.253777,84.26062109,-157.4498994,-1.855595545,-39.96244532,-24.4690228,13.66110458,72
07-02-2020,-371973.9405,65.63939542,-82.40698815,-78.31235518,45.99878754,42.66753647,11.92177735,-3.341177485,2.983119221,-21.0113108,69
08-02-2020,108165.6117,-281.8321959,-179.9390038,124.2745769,-33.40595731,40.8264947,-36.38362307,-11.43560471,-1.322988261,-8.887061121,80
09-02-2020,-304877.6638,21.52112384,-22.61291173,57.87707958,-54.26208131,5.874033724,-6.488233754,-7.420423299,4.131819137,-8.365301707,76
10-02-2020,314962.7006,1314.583485,204.6546283,-25.82116782,-35.71883988,15.10727853,-108.4553754,-17.58100085,13.36859641,-5.411556973,70
11-02-2020,-179899.3235,-84.17595869,249.6946266,63.65734268,-56.1691429,69.01128731,26.04719223,9.19628103,14.56537638,32.39256267,73
12-02-2020,-153563.7067,-68.07172114,126.6394849,31.14519317,-89.5542049,84.50157576,-32.88123684,8.823474883,-11.11435537,7.621083749,74
13-02-2020,146713.3335,737.7679045,154.5151626,23.30750797,-69.55583702,113.005441,-69.02222718,23.47058881,2.312441736,8.146322908,74
14-02-2020,-401176.2855,18.08017583,152.1849705,-204.7437045,-73.88275451,-82.89078084,-29.24403881,38.17681637,22.60202816,-12.94729149,55
15-02-2020,-478160.7541,83.98771063,36.98395973,-35.46149424,323.3343961,111.2797193,39.68327306,-82.80262423,-1.825303677,-3.79816897,69
16-02-2020,-318220.3845,-10.16003701,-135.2707945,113.148473,38.12529657,100.5490304,-20.45329679,-43.96641781,-15.43847077,17.97929637,71
17-02-2020,-173856.1467,-141.0514509,185.6217069,-49.61671893,-85.16750516,47.1212071,11.961423,55.59216113,12.23812879,0.165210075,66
18-02-2020,-179303.0528,-24.57704865,-292.9795054,-77.16376597,228.8558357,164.3734734,39.87340824,-55.19319646,-36.44672677,-5.443222067,68
19-02-2020,475346.4406,-396.1299962,-184.3684408,55.54948397,-122.0873121,131.6325567,-13.69416363,62.40564196,-18.36147621,-19.67965832,74
20-02-2020,-405525.4711,72.98419842,-43.94143358,-57.38049524,-101.0703503,4.84855903,10.31886423,22.29382484,0.486942725,-5.817927095,75
21-02-2020,484802.8902,403.1353242,170.1924783,-105.0862753,-92.43305963,40.54740329,-45.45053593,56.96167994,-4.532850848,-26.7229603,58
22-02-2020,258946.2463,-260.7516119,94.46458138,133.7852536,-110.6039271,133.8325408,-51.88099177,63.51049606,-25.37874843,-3.236337386,72
23-02-2020,-41674.05382,-121.6200462,84.30063957,167.5877508,-64.27756723,106.8062594,17.82603367,21.67385275,-0.800773601,8.943381984,75
24-02-2020,-433091.0579,49.47969439,-123.1111367,-228.2609626,262.4221284,132.0036986,14.9193168,-19.87571922,-21.01159907,-13.52575394,71
25-02-2020,-434665.0187,49.97120117,396.6765653,-145.9622516,-44.94186494,-46.14966329,14.33098097,36.7432558,31.86601265,-25.27339482,59
26-02-2020,27833.01625,399.4508159,125.193075,-96.23582417,-88.20919628,-18.40543275,-23.7916672,56.08798723,-9.193953266,5.708319893,69
27-02-2020,540015.7055,-477.7273888,238.0818892,-193.8062409,128.7482991,-163.7475093,-25.99204624,-25.60642948,-8.420019528,12.81043412,68
28-02-2020,-18385.27784,-118.3317552,70.18305049,-22.98419128,-81.23572994,61.60439319,-0.502411357,56.72961735,15.07866761,18.97023886,71
29-02-2020,747191.6106,-502.164178,292.7027485,-25.18908244,168.7146222,74.94592939,-12.22763976,-71.91272765,121.5001214,6.017160731,69
01-03-2020,711835.5749,-462.3763184,156.218985,-78.04037637,116.8605698,25.9980861,-46.3495204,-77.69000909,95.17662713,-10.87714843,73
02-03-2020,-115597.8474,-83.66858022,-168.1714971,36.14726435,-84.28577362,33.694649,-35.90047171,8.859112063,7.615217513,-5.505051866,77
03-03-2020,-213749.37,-38.225511,-90.66572028,18.55102917,-66.22511444,-32.5245661,-36.52036168,-14.93642276,-7.424713116,51.79328242,84
04-03-2020,25456.19806,-230.508338,556.8165154,90.05870507,-115.4957764,231.6617688,25.06703446,75.30361403,-9.178351095,6.626492289,67
05-03-2020,642364.8625,124.3403415,568.6558899,-10.52013753,145.1086112,38.5901042,75.7334645,7.133078183,-60.79796968,4.823268846,75
06-03-2020,-182059.0964,-41.28812141,-11.07781324,492.8825688,247.1915263,-110.4338246,-61.87755483,103.9195999,17.06904313,-3.723122267,71
07-03-2020,6889.604476,-129.8707479,-195.6372699,46.15524967,-24.83725907,-55.05330129,-34.3616062,-61.83171072,-7.016738139,-3.757964247,68
08-03-2020,30396.30468,-134.695636,-56.32041032,69.96078257,-72.64230288,67.95012575,-13.19684582,-0.705098028,-2.666453058,-8.850752914,71
09-03-2020,-444269.4414,81.50676277,-3.497381085,2.865045862,-106.8595968,29.6042819,-32.23029778,25.90517745,-5.132553258,16.30604181,73
10-03-2020,99031.57017,535.1952859,4.900495457,-165.0337617,168.6612725,36.27907227,-13.33359333,-23.72348446,-6.98919094,-6.985085351,70
11-03-2020,-311253.8814,116.672413,-408.3943904,-450.4222666,588.2670638,126.2709989,-73.51831723,191.2252207,-4.779735345,22.78646441,71.63333333
