0,1,2,3,4,5,6,7,8,9,sleep_score
-153009.47,-72.102844,-113.49573,129.18497,1.7438507,71.774796,-19.281776,0.74092865,-6.1301994,-10.186596,71.508896
-341587.9,-207.90298,-79.49341,12.876801,-42.07939,-77.99724,-42.191544,-50.654705,-19.368202,29.591774,73.17791
133621.06,-71.16626,-14.7847595,-72.273254,16.774826,-51.082886,-6.8339157,4.8966293,6.879017,-7.320225,72.73735
-432063.72,-235.33694,-183.23979,198.53683,-63.77088,11.8398285,-54.400497,-48.354782,-23.848171,21.383942,72.79385
-456422.8,-361.03018,-239.04398,300.53482,-85.197205,93.06813,-75.808235,-52.672607,-29.813824,14.04113,76.5836
-79150.56,-85.41272,-67.32477,100.617035,-0.19248962,9.703827,-13.9665985,-2.5305634,2.1002579,-0.22404861,73.05534
-366128.62,-361.97495,-248.47893,170.84647,-78.83377,-47.900955,-62.90498,-46.74579,-18.18779,21.32685,77.77313
-199764.78,-177.08646,-80.92398,170.89395,-19.936577,99.86635,-41.859573,-14.201027,-11.410332,-6.312603,73.27816
-381791.5,-413.05063,-274.7339,136.3021,-90.974884,-40.19948,-73.21985,-51.74542,-24.877495,23.107834,79.307526
495476.38,-11.166138,-62.380066,-80.109344,26.845795,59.147568,14.876617,68.603775,24.128605,-27.776102,72.97043
-33081.625,-109.19092,-97.685,-42.698242,-7.572548,-62.386917,-10.336548,-7.928093,-0.115982056,10.681206,72.59493
-18405.875,-182.2468,-71.09802,-3.2157593,2.7442017,13.662476,-20.765953,-2.4011612,-0.8970871,-14.300823,72.94194
-150915.38,123.21814,121.568085,60.93579,47.362015,23.998962,6.461586,-12.044273,-5.3551636,11.329063,66.43538
79959.25,133.60669,167.1359,-150.23947,71.832306,-121.936005,36.552925,-11.986588,5.252964,13.663719,66.002
115785.375,-181.12485,-199.06207,17.589111,-8.45649,9.134079,-9.545647,32.967926,10.600536,-18.34895,76.22312
-203834.31,-68.31726,65.65747,-36.68338,-1.4464569,-86.05541,-9.64109,-36.272522,-11.522644,26.213089,67.942
-390438.78,-418.98395,-264.61484,144.47287,-91.4513,-18.331116,-75.39666,-53.005806,-25.668327,22.931778,79.783585
-134910.03,53.58185,176.80057,-126.197845,38.572372,-132.60516,17.519264,-37.54595,-6.8467674,26.82817,65.08909
-87981.75,-278.2205,-233.88957,145.21378,-59.193268,106.012924,-54.971592,5.762764,-6.9373817,-14.679359,78.14775
219074.0,218.72876,62.24283,-32.134247,91.66655,64.47923,28.3303,39.34993,11.074078,-22.353973,68.559166
-249013.72,-296.81763,-226.2996,185.02982,-44.30771,117.161575,-53.52308,-6.232361,-10.260082,-10.805904,76.84138
-240861.28,63.071716,204.77713,-42.233307,36.45378,-60.856857,-5.734497,-43.223137,-15.942394,19.079407,65.57985
-267132.2,-190.37738,-164.95512,102.058014,-20.772919,1.9974365,-30.755081,-20.600548,-9.744217,5.849663,73.821014
85771.5,220.83972,190.70651,-28.24289,103.10153,-31.286224,43.707863,6.653122,9.20673,0.17011261,65.91566
